company name,website url,Robots.txt Link,Sitemap Links,Job Links
HITACHI ENERGY,https://www.hitachienergy.com,https://www.hitachienergy.com/robots.txt,https://www.hitachienergy.com/africa/en/_jcr_content/sitemap.xml; https://www.hitachienergy.com/africa/en/about-us/sitemap.xml; https://www.hitachienergy.com/africa/en/campaigns/sitemap.xml; https://www.hitachienergy.com/africa/en/careers/sitemap.xml; https://www.hitachienergy.com/africa/en/contact-us/sitemap.xml; https://www.hitachienergy.com/africa/en/cookie-notice/sitemap.xml; https://www.hitachienergy.com/africa/en/markets/sitemap.xml; https://www.hitachienergy.com/africa/en/news-and-events/sitemap.xml; https://www.hitachienergy.com/africa/en/offering/sitemap.xml; https://www.hitachienergy.com/africa/en/privacy-notice-mockup/sitemap.xml; https://www.hitachienergy.com/africa/en/privacy-notice/sitemap.xml; https://www.hitachienergy.com/africa/en/privacy-notices/sitemap.xml; https://www.hitachienergy.com/africa/en/privacy-policy/sitemap.xml; https://www.hitachienergy.com/africa/en/privacy/sitemap.xml; https://www.hitachienergy.com/africa/en/products-and-solutions/sitemap.xml; https://www.hitachienergy.com/africa/en/provider-information/sitemap.xml; https://www.hitachienergy.com/africa/en/services-and-consulting/sitemap.xml; https://www.hitachienergy.com/africa/en/sitemap; https://www.hitachienergy.com/africa/en/sitemap.xml; https://www.hitachienergy.com/africa/en/sitemap/sitemap.xml; https://www.hitachienergy.com/africa/en/sustainability/sitemap.xml; https://www.hitachienergy.com/at/de/sitemap.xml; https://www.hitachienergy.com/br/pt/sitemap.xml; https://www.hitachienergy.com/ca/en/sitemap.xml; https://www.hitachienergy.com/ca/fr/sitemap.xml; https://www.hitachienergy.com/ch/de/sitemap.xml; https://www.hitachienergy.com/ch/fr/sitemap.xml; https://www.hitachienergy.com/ch/it/sitemap.xml; https://www.hitachienergy.com/cn/zh/sitemap.xml; https://www.hitachienergy.com/de/de/sitemap.xml; https://www.hitachienergy.com/es/es/sitemap.xml; https://www.hitachienergy.com/fr/fr/sitemap.xml; https://www.hitachienergy.com/in/en/sitemap.xml; https://www.hitachienergy.com/it/it/sitemap.xml; https://www.hitachienergy.com/jp/ja/sitemap.xml; https://www.hitachienergy.com/latam/es/sitemap.xml; https://www.hitachienergy.com/me/en/sitemap.xml; https://www.hitachienergy.com/pt/pt/sitemap.xml; https://www.hitachienergy.com/se/sv/sitemap.xml; https://www.hitachienergy.com/sitemap.xml; https://www.hitachienergy.com/uk-ie/en/sitemap.xml; https://www.hitachienergy.com/us/en/sitemap.xml; https://www.hitachienergy.com/video-sitemap.xml,"https://www.hitachienergy.com/africa/en/about-us/our-people-and-culture/careers; https://eur04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fhitachi.wd1.myworkdayjobs.com%2Fen-US%2Fhitachi%2FintroduceYourself&data=05%7C01%7Ccath.soriano%40hitachienergy.com%7Cf214ddd5ad7f4bc14ff808dbcf1372cf%7C7831e6d9dc6c4cd19ec61dc2b4133195%7C0%7C0%7C638331454686691238%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=EKAiyP%2FTZAuadJ7uj43lVIIwf4pmytTWKrqhaCz6Rak%3D&reserved=0; https://www.glassdoor.com/Overview/Working-at-Hitachi-Energy-EI_IE3507483.11,25.htm; https://www.hitachienergy.com/africa/en/careers/about-us/why-work-with-us; https://www.hitachienergy.com/africa/en/products-and-solutions/hvdc/hvdc-careers"
Eurofins,https://www.eurofins.com,https://www.eurofins.com/robots.txt,https://www.eurofins.com/sitemap/; https://www.eurofins.com/sitemapxml/,
Contact Energy,https://contact.co.nz,https://contact.co.nz/robots.txt,https://contact.co.nz/sitemap.xml,https://contact.co.nz/about-us/careers; https://contact.co.nz/about-us/careers/early-careers
Amini,https://www.amini.com,https://www.amini.com/robots.txt,,
Landis+Gyr,https://www.landisgyr.com,https://www.landisgyr.com/robots.txt,https://www.landisgyr.com.au/career-sitemap.xml; https://www.landisgyr.com.au/challenge-sitemap.xml; https://www.landisgyr.com.au/course-sitemap.xml; https://www.landisgyr.com.au/course-sitemap2.xml; https://www.landisgyr.com.au/event-sitemap.xml; https://www.landisgyr.com.au/ezine-article-sitemap.xml; https://www.landisgyr.com.au/ezine-sitemap.xml; https://www.landisgyr.com.au/newsletter-sitemap.xml; https://www.landisgyr.com.au/page-sitemap.xml; https://www.landisgyr.com.au/page-sitemap2.xml; https://www.landisgyr.com.au/post-sitemap.xml; https://www.landisgyr.com.au/post-sitemap2.xml; https://www.landisgyr.com.au/post-sitemap3.xml; https://www.landisgyr.com.au/post-sitemap4.xml; https://www.landisgyr.com.au/post-sitemap5.xml; https://www.landisgyr.com.au/post-sitemap6.xml; https://www.landisgyr.com.au/post-sitemap7.xml; https://www.landisgyr.com.au/post-sitemap8.xml; https://www.landisgyr.com.au/post-sitemap9.xml; https://www.landisgyr.com.au/product-sitemap.xml; https://www.landisgyr.com.au/product-sitemap2.xml; https://www.landisgyr.com.au/product-sitemap3.xml; https://www.landisgyr.com.au/resource-sitemap.xml; https://www.landisgyr.com.au/resource-sitemap2.xml; https://www.landisgyr.com.au/service-sitemap.xml; https://www.landisgyr.com.au/sitemap_index.xml; https://www.landisgyr.com.au/solution-sitemap.xml,https://www.landisgyr.com.au/careers/; https://www.landisgyr.com.au/news/landisgyr-tells-congressional-leadership-the-smart-grid-industry-is-creating-jobs/
Blockchain & Climate Institute,https://blockchainclimate.org,https://blockchainclimate.org/robots.txt,https://blockchainclimate.org/author-sitemap.xml; https://blockchainclimate.org/category-sitemap.xml; https://blockchainclimate.org/da_image-sitemap.xml; https://blockchainclimate.org/page-sitemap.xml; https://blockchainclimate.org/post-sitemap.xml; https://blockchainclimate.org/sitemap_index.xml,https://blockchainclimate.org/join-us/
Environmental Resources Management,https://www.erm.com,https://www.erm.com/robots.txt,https://www.erm.com/sitemap.xml,https://www.erm.com/about/news/erm-japan-and-ocean-energy-pathway-study-finds-akita-prefecture-offshore-wind-projects-could-generate-356-billion-jpy-economic-value-and-34000-jobs/; https://erm.wd3.myworkdayjobs.com/ERM_Careers; https://erm.wd3.myworkdayjobs.com/ERM_Careers; https://erm.wd3.myworkdayjobs.com/ERM_Careers; https://erm.wd3.myworkdayjobs.com/ERM_Careers?q=cvs
Emitwise,https://emitwise.com,https://emitwise.com/robots.txt,https://emitwise.com/page-sitemap.xml; https://emitwise.com/post-sitemap.xml; https://emitwise.com/sitemap_index.xml,https://emitwise.com/careers/
Vattenfall,https://group.vattenfall.com,https://group.vattenfall.com/robots.txt,https://group.vattenfall.com/de/site-assets/sitemap; https://group.vattenfall.com/dk/site-assets/sitemap; https://group.vattenfall.com/fi/site-assets/sitemap; https://group.vattenfall.com/nl/site-assets/sitemap; https://group.vattenfall.com/site-assets/sitemap; https://group.vattenfall.com/sitemap.xml; https://group.vattenfall.com/uk/site-assets/sitemap,
EcoVadis,https://ecovadis.com,https://ecovadis.com/robots.txt,https://ecovadis.com/sitemap_index.xml,https://careers.smartrecruiters.com/ecovadis
